exercise_id,keyword_id
pull-ups-behind-neck,379
pull-ups-behind-neck,380
pull-ups-behind-neck,419
pull-ups-behind-neck,420
pull-ups-behind-neck,421
pull-ups-behind-neck,422
pull-ups-behind-neck,423
pull-ups-behind-neck,424
pull-ups-behind-neck,425
pull-ups-behind-neck,426
pull-ups-behind-neck,427
pull-ups-behind-neck,428
explosive-pull-ups,329
explosive-pull-ups,330
explosive-pull-ups,333
explosive-pull-ups,336
explosive-pull-ups,339
explosive-pull-ups,117
explosive-pull-ups,118
scapular-retraction-hang,329
scapular-retraction-hang,333
scapular-retraction-hang,339
scapular-retraction-hang,335
dead-hang,329
dead-hang,333
dead-hang,339
chest-to-bar-pull-ups,329
chest-to-bar-pull-ups,330
chest-to-bar-pull-ups,333
chest-to-bar-pull-ups,336
chest-to-bar-pull-ups,339
muscle-up,329
muscle-up,330
muscle-up,333
muscle-up,336
muscle-up,339
pull-ups-rings,329
pull-ups-rings,330
pull-ups-rings,331
pull-ups-rings,332
pull-ups-rings,333
pull-ups-rings,334
pull-ups-rings,335
pull-ups-rings,336
pull-ups-rings,339
pull-ups-rings,340
pull-ups-rings,122
pull-ups-rings,123
pull-ups-rings,124
pull-ups-rings,125
pull-ups-rings,126
pull-ups-rings,127
pull-ups-rings-wide-grip,329
pull-ups-rings-wide-grip,330
pull-ups-rings-wide-grip,331
pull-ups-rings-wide-grip,332
pull-ups-rings-wide-grip,333
pull-ups-rings-wide-grip,334
pull-ups-rings-wide-grip,335
pull-ups-rings-wide-grip,336
pull-ups-rings-wide-grip,339
pull-ups-rings-wide-grip,340
pull-ups-rings-wide-grip,341
pull-ups-rings-wide-grip,342
pull-ups-rings-wide-grip,343
pull-ups-rings-wide-grip,344
pull-ups-rings-wide-grip,122
pull-ups-rings-wide-grip,123
pull-ups-rings-wide-grip,124
pull-ups-rings-wide-grip,125
trx-row-standing,329
trx-row-standing,330
trx-row-standing,333
trx-row-standing,335
trx-row-standing,336
trx-row-standing,339
trx-row-standing,272
trx-row-standing,273
trx-row-standing,274
trx-row-standing,275
trx-row-standing,276
trx-row-standing,277
trx-row-standing,278
trx-row-standing,279
trx-row-standing,280
trx-row-standing,281
trx-row-standing,282
trx-pull-ups-assisted,329
trx-pull-ups-assisted,330
trx-pull-ups-assisted,331
trx-pull-ups-assisted,332
trx-pull-ups-assisted,333
trx-pull-ups-assisted,334
trx-pull-ups-assisted,335
trx-pull-ups-assisted,336
trx-pull-ups-assisted,339
trx-pull-ups-assisted,340
trx-pull-ups-assisted,272
trx-pull-ups-assisted,273
trx-pull-ups-assisted,274
trx-pull-ups-assisted,275
trx-pull-ups-assisted,276
trx-pull-ups-assisted,277
trx-pull-ups-assisted,278
trx-pull-ups-assisted,279
trx-pull-ups-assisted,280
trx-pull-ups-assisted,281
lat-pulldown-wide-grip,329
lat-pulldown-wide-grip,330
lat-pulldown-wide-grip,331
lat-pulldown-wide-grip,332
lat-pulldown-wide-grip,333
lat-pulldown-wide-grip,334
lat-pulldown-wide-grip,335
lat-pulldown-wide-grip,336
lat-pulldown-medium-grip,329
lat-pulldown-medium-grip,330
lat-pulldown-medium-grip,331
lat-pulldown-medium-grip,332
lat-pulldown-medium-grip,333
lat-pulldown-medium-grip,334
lat-pulldown-medium-grip,335
lat-pulldown-medium-grip,336
lat-pulldown-close-grip,329
lat-pulldown-close-grip,330
lat-pulldown-close-grip,331
lat-pulldown-close-grip,332
lat-pulldown-close-grip,333
lat-pulldown-close-grip,334
lat-pulldown-close-grip,335
